date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,age,last_renovation
09-2014,435000.0,2,1.75,1910,12142,1.0,0,0,3,1,1910,0,39,39
11-2014,241000.0,3,1.0,1150,10000,1.0,0,0,3,1,1000,150,64,64
05-2014,885000.0,4,2.75,2730,3560,1.5,0,0,3,1,1550,1180,94,8
01-2015,760000.0,3,2.5,2280,12746,1.0,0,0,4,1,1490,790,42,42
11-2014,270000.0,2,1.0,1040,5700,1.0,0,0,3,1,1040,0,93,93
02-2015,675000.0,4,1.75,2440,7475,1.0,0,0,4,1,2040,400,46,46
12-2014,499000.0,3,2.5,1720,5940,1.0,0,0,4,1,1000,720,38,38
06-2014,320000.0,4,2.5,2570,4865,2.0,0,0,3,1,2570,0,10,10
08-2014,275000.0,4,2.75,2060,7350,1.0,0,0,3,1,1210,850,37,37
07-2014,550000.0,3,2.5,2340,4200,1.5,0,0,3,1,1540,800,109,109
05-2015,390000.0,5,2.0,2400,9537,1.0,0,0,5,1,1210,1190,56,56
10-2014,277000.0,3,2.25,1610,11920,1.0,0,0,4,1,1110,500,47,47
03-2015,236000.0,3,1.75,1090,7647,1.0,0,0,3,1,1090,0,21,21
03-2015,265953.0,3,1.75,1470,13068,1.0,0,0,4,1,1470,0,40,40
03-2015,545000.0,3,2.25,1670,6240,1.0,0,0,4,1,1240,430,41,41
05-2014,535000.0,3,2.5,1850,10109,2.0,0,0,3,1,1850,0,24,24
06-2014,490000.0,4,3.0,2330,3497,2.0,0,0,3,1,1920,410,12,12
04-2015,319950.0,4,2.5,2020,7200,1.5,0,0,4,1,2020,0,61,61
07-2014,625000.0,3,1.5,1300,7200,1.0,0,0,5,1,1300,0,55,55
02-2015,248000.0,3,1.0,1180,6947,1.0,0,0,4,1,1180,0,47,47
04-2015,475000.0,3,1.75,1320,7840,1.0,0,0,3,1,1320,0,49,49
05-2014,670000.0,3,2.5,1680,2000,3.0,0,0,3,1,1680,0,106,17
10-2014,313000.0,2,1.0,1180,4900,1.0,0,0,5,1,1180,0,61,61
05-2014,751750.0,2,2.0,1880,5400,1.5,0,0,3,1,1880,0,113,113
09-2014,760000.0,4,2.5,2990,5280,2.0,0,0,3,1,2210,780,12,12
05-2014,367500.0,4,3.0,3110,7231,2.0,0,0,3,1,3110,0,18,18
08-2014,580000.0,4,2.5,2150,5000,2.0,0,0,3,1,2150,0,14,14
07-2014,580000.0,3,2.25,1900,3960,1.5,0,0,3,1,1200,700,110,110
11-2014,239950.0,3,2.25,1560,8280,2.0,0,0,4,1,1560,0,36,36
08-2014,733000.0,3,1.75,1740,3060,1.0,0,0,5,1,950,790,85,1
01-2015,250000.0,4,2.0,2130,8400,1.0,0,0,3,1,1350,780,53,53
09-2014,402000.0,4,1.75,1510,9176,1.0,0,0,5,1,1510,0,58,58
06-2014,295000.0,5,3.5,2100,5107,2.0,0,0,3,1,1410,690,16,16
10-2014,355000.0,5,2.5,2344,8000,1.0,0,0,4,1,1560,784,39,39
06-2014,212700.0,2,1.0,940,5040,1.0,0,0,3,1,940,0,89,89
05-2014,325000.0,3,1.75,1780,13095,1.0,0,0,4,1,1780,0,32,32
08-2014,415000.0,4,2.5,2230,5743,2.0,0,0,3,1,2230,0,13,13
04-2015,935000.0,3,2.5,3570,15151,1.0,0,0,4,1,2400,1170,34,34
01-2015,372000.0,3,2.5,1920,15260,2.0,0,0,3,1,1920,0,25,25
10-2014,240000.0,3,1.5,1290,8366,1.0,0,0,3,1,1020,270,58,58
09-2014,334950.0,3,1.75,1880,16262,1.0,0,0,5,1,1880,0,35,35
04-2015,426500.0,4,2.5,2960,4640,2.0,0,0,3,1,2960,0,10,10
12-2014,400000.0,3,1.5,1890,6183,1.0,0,0,3,1,1090,800,48,48
04-2015,455850.0,3,2.25,1820,6000,1.0,0,0,4,1,1120,700,51,51
06-2014,400000.0,3,1.75,1530,10731,1.0,0,0,3,1,1530,0,29,29
08-2014,397500.0,3,1.0,1030,10480,1.0,0,0,4,1,1030,0,61,61
12-2014,755000.0,3,2.5,2000,1950,3.0,0,0,3,1,2000,0,10,10
07-2014,287000.0,5,1.5,1730,9230,1.0,0,0,3,1,1010,720,53,53
07-2014,480000.0,4,2.5,3620,16000,2.0,0,0,3,1,3620,0,39,39
04-2015,490000.0,3,2.5,2040,9622,2.0,0,0,3,1,2040,0,20,20
06-2014,365000.0,3,2.5,2640,6715,2.0,0,0,3,1,1680,960,24,24
02-2015,260000.0,3,2.5,1600,2244,2.0,0,0,3,1,1600,0,10,10
04-2015,505000.0,4,1.0,1480,12675,1.5,0,0,4,1,1480,0,86,86
06-2014,260000.0,2,1.0,700,4800,1.0,0,0,3,1,700,0,93,93
01-2015,430000.0,2,1.0,700,4800,1.0,0,0,3,1,700,0,93,93
12-2014,440000.0,3,2.0,1650,6408,2.0,0,0,4,1,1650,0,38,38
09-2014,439500.0,4,1.0,1360,5500,1.5,0,0,3,1,1360,0,65,65
01-2015,270000.0,3,2.0,1350,6696,1.0,0,0,5,1,680,670,71,71
04-2015,306500.0,3,2.5,1970,6291,2.0,0,0,4,1,1970,0,17,17
10-2014,380000.0,3,2.0,1470,1656,2.0,0,0,3,1,1310,160,12,12
07-2014,215000.0,4,1.75,1610,9652,1.0,0,0,5,1,1610,0,46,46
02-2015,299900.0,2,1.0,810,6150,1.0,0,0,3,1,810,0,65,65
06-2014,494000.0,4,2.5,1830,7345,1.0,0,0,4,1,1540,290,42,42
01-2015,317500.0,4,1.5,1730,7700,1.0,0,0,4,1,1010,720,52,52
03-2015,670000.0,4,2.5,2110,7291,2.0,0,0,4,1,2110,0,38,38
03-2015,852000.0,4,2.5,2620,7328,2.0,0,0,3,1,2620,0,32,32
06-2014,250000.0,2,1.5,1088,1360,2.0,0,0,3,1,1088,0,32,32
12-2014,264950.0,3,1.5,1400,10853,1.0,0,0,4,1,1400,0,51,51
09-2014,582500.0,2,2.0,1540,6804,1.0,0,0,5,1,1020,520,73,73
03-2015,384000.0,3,2.5,1540,1564,2.0,0,0,3,1,1300,240,17,17
10-2014,817000.0,3,1.5,2310,3360,1.5,0,0,3,1,1790,520,89,89
12-2014,320000.0,4,1.75,1730,9520,1.0,0,0,4,1,1730,0,44,44
03-2015,263300.0,2,1.0,900,4500,1.0,0,0,3,1,900,0,64,64
01-2015,215000.0,3,1.0,860,6635,1.0,0,0,3,1,860,0,63,63
10-2014,386000.0,5,2.5,2740,12413,2.0,0,0,3,1,2740,0,25,25
12-2014,251100.0,4,2.5,1790,5257,2.0,0,0,3,1,1790,0,19,19
11-2014,435000.0,3,1.75,1750,16748,1.0,0,0,3,1,1330,420,37,37
07-2014,555000.0,3,1.75,1570,15500,1.0,0,0,4,1,1570,0,47,47
03-2015,356000.0,3,1.0,940,2366,1.0,0,0,3,1,940,0,99,99
12-2014,605000.0,4,2.25,2260,11900,2.0,0,0,3,1,2260,0,39,39
06-2014,437000.0,2,1.75,1440,4225,1.0,0,0,3,1,1440,0,10,10
07-2014,850000.0,5,2.0,2310,13430,1.5,0,0,4,1,2310,0,49,49
06-2014,350000.0,4,2.25,2300,4600,1.5,0,0,4,1,1340,960,111,111
06-2014,480000.0,2,2.25,1490,6770,1.5,0,0,3,1,1490,0,89,89
12-2014,303000.0,2,1.5,1000,1075,2.0,0,0,3,1,840,160,8,8
07-2014,549000.0,2,2.0,1980,6000,1.5,0,0,5,1,1220,760,109,109
11-2014,324950.0,3,2.5,1560,9600,1.0,0,0,3,1,1210,350,51,51
09-2014,170000.0,2,1.0,870,6537,1.0,0,0,3,1,870,0,67,67
07-2014,178000.0,3,1.0,840,6500,1.0,0,0,5,1,840,0,46,46
04-2015,144000.0,3,1.0,1250,8314,1.0,0,0,3,1,1250,0,57,57
04-2015,258000.0,2,1.0,750,7000,1.0,0,0,3,1,750,0,83,83
10-2014,345000.0,3,1.75,710,5050,1.0,0,0,4,1,710,0,65,65
06-2014,470000.0,3,1.75,2290,14800,1.0,0,0,3,1,1620,670,50,50
05-2014,350000.0,3,1.5,980,7790,1.0,0,0,5,1,980,0,46,46
06-2014,225500.0,2,1.75,1590,11276,1.0,0,0,4,1,1590,0,43,43
02-2015,473000.0,2,1.0,940,4000,1.0,0,0,3,1,720,220,73,73
02-2015,279000.0,3,1.75,1750,9623,1.0,0,0,3,1,1150,600,53,53
04-2015,470000.0,3,1.0,1460,8227,1.0,0,0,3,1,880,580,67,67
08-2014,565000.0,3,1.75,1540,4800,1.0,0,0,4,1,770,770,90,90
03-2015,529000.0,3,2.5,1880,4499,2.0,0,0,3,1,1880,0,22,22
10-2014,481500.0,3,2.25,1840,10500,2.0,0,0,3,1,1840,0,22,22
03-2015,211000.0,3,2.0,1060,7412,1.0,0,0,3,1,1060,0,28,28
04-2015,455000.0,3,2.25,1790,7500,1.0,0,0,3,1,1390,400,42,42
11-2014,238950.0,2,1.0,810,4838,1.0,0,0,3,1,810,0,77,77
09-2014,722500.0,4,3.5,2600,5100,2.0,0,0,3,1,1820,780,12,12
05-2015,327500.0,4,2.25,2240,9600,2.0,0,0,3,1,2240,0,44,44
03-2015,585000.0,4,3.0,3400,5100,2.0,0,0,3,1,3400,0,9,9
10-2014,645000.0,4,2.5,2780,4200,2.0,0,0,3,1,2780,0,14,14
01-2015,445000.0,4,2.75,2320,12368,1.0,0,0,3,1,1670,650,47,47
05-2014,257950.0,3,1.75,1370,5858,1.0,0,0,3,1,1370,0,28,28
03-2015,375000.0,5,1.75,2230,7560,1.0,0,0,3,1,1230,1000,56,56
07-2014,245000.0,3,2.5,1610,7223,2.0,0,0,3,1,1610,0,21,21
03-2015,702000.0,4,2.5,2810,4922,2.0,0,0,3,1,2810,0,10,10
08-2014,330000.0,3,1.75,1850,14986,2.0,0,0,3,1,1850,0,72,10
04-2015,940000.0,3,1.5,1790,4800,1.5,0,0,3,1,1790,0,103,103
03-2015,354500.0,3,1.0,1150,11396,1.5,0,0,4,1,1150,0,65,65
02-2015,279950.0,4,2.75,2420,8700,1.5,0,0,4,1,2420,0,101,101
05-2015,284000.0,3,2.25,1580,7034,1.0,0,0,4,1,1180,400,26,26
07-2014,152000.0,3,1.0,920,4875,1.0,0,0,4,1,920,0,37,37
01-2015,322000.0,3,1.0,960,10181,1.0,0,0,3,1,960,0,54,54
07-2014,445000.0,3,1.75,1120,4000,1.0,0,0,4,1,870,250,99,99
07-2014,595000.0,3,1.0,1560,3960,1.5,0,0,4,1,1560,0,108,108
05-2015,165000.0,3,1.0,1380,7334,1.0,0,0,3,1,980,400,34,34
06-2014,278500.0,4,2.5,1940,6206,2.0,0,0,3,1,1940,0,25,25
03-2015,517500.0,3,1.75,1810,10625,1.0,0,0,3,1,1370,440,42,42
06-2014,343566.0,2,1.0,1100,4200,1.0,0,0,3,1,1100,0,61,61
11-2014,286285.0,4,2.25,1980,9714,1.0,0,0,3,1,1170,810,38,38
02-2015,474905.0,4,1.5,1340,6200,1.0,0,0,5,1,1340,0,56,56
07-2014,550000.0,3,1.75,1680,4800,1.0,0,0,4,1,1400,280,55,55
01-2015,286000.0,4,2.5,2060,16000,2.0,0,0,3,1,2060,0,22,22
08-2014,900000.0,3,3.25,2620,7215,1.0,0,0,4,1,1770,850,35,35
08-2014,449950.0,3,2.25,1610,5159,2.0,0,0,3,1,1610,0,30,30
06-2014,259000.0,4,1.5,1490,7560,2.0,0,0,3,1,1490,0,49,49
12-2014,340000.0,3,2.25,1900,8125,1.0,0,0,3,1,1540,360,46,46
05-2014,490000.0,2,1.0,1840,3300,1.5,0,0,4,1,1130,710,105,105
05-2014,344950.0,4,2.0,2330,6250,1.0,0,0,4,1,1400,930,74,74
08-2014,950000.0,3,2.0,2250,2975,2.0,0,0,4,1,1880,370,110,110
12-2014,377000.0,3,1.75,1680,7389,1.0,0,0,3,1,1150,530,36,36
08-2014,595000.0,3,2.0,1530,6773,1.0,0,0,4,1,1530,0,31,31
08-2014,313300.0,2,1.0,970,4800,1.0,0,0,3,1,970,0,104,75
07-2014,360000.0,5,1.75,1550,5225,1.5,0,0,4,1,1550,0,74,74
03-2015,188000.0,3,1.75,1660,7350,1.0,0,0,2,1,1660,0,36,36
07-2014,455000.0,3,1.0,1480,13280,2.5,0,0,3,1,1480,0,75,75
09-2014,550000.0,3,2.25,1700,1481,3.0,0,0,3,1,1700,0,13,13
05-2015,260000.0,3,1.75,1680,8725,1.0,0,0,3,1,1240,440,37,37
04-2015,362000.0,4,2.5,2360,7370,1.0,0,0,3,1,1460,900,30,30
04-2015,503500.0,3,2.5,1810,1750,2.0,0,0,3,1,1350,460,18,18
06-2014,653000.0,3,2.5,2290,3475,2.0,0,0,3,1,2290,0,9,9
11-2014,775000.0,4,1.75,2090,5050,1.0,0,0,4,1,1090,1000,99,99
02-2015,417500.0,5,1.75,2060,10911,1.0,0,0,4,1,1360,700,61,61
07-2014,525000.0,3,1.5,1560,9350,1.0,0,0,4,1,1220,340,46,46
07-2014,525000.0,4,2.75,2910,6308,1.0,0,0,3,1,1640,1270,30,30
03-2015,442500.0,4,2.25,2490,8700,1.0,0,0,3,1,1890,600,39,39
07-2014,525000.0,4,1.75,1710,10440,1.0,0,0,4,1,1710,0,60,60
02-2015,425500.0,4,1.75,1520,10630,1.0,0,0,4,1,1520,0,48,48
04-2015,245000.0,3,2.25,1700,8100,1.0,0,0,3,1,1200,500,35,35
07-2014,194900.0,2,1.0,810,6697,1.0,0,0,4,1,810,0,92,92
05-2014,284000.0,4,2.5,2000,5390,2.0,0,0,3,1,2000,0,12,12
05-2014,360000.0,4,2.0,1730,5500,1.0,0,0,5,1,1010,720,72,72
09-2014,405000.0,2,1.0,720,4323,1.0,0,0,3,1,720,0,73,73
06-2014,483300.0,4,2.0,1210,11100,1.0,0,0,4,1,1210,0,60,60
03-2015,355000.0,4,2.5,2130,9268,2.0,0,0,4,1,2130,0,30,30
04-2015,274950.0,3,2.25,1570,8767,1.0,0,0,3,1,1180,390,25,25
06-2014,309212.0,3,1.75,1150,9600,1.0,0,0,3,1,1150,0,36,36
06-2014,219950.0,3,2.25,1500,7615,1.0,0,0,3,1,1150,350,31,31
07-2014,690000.0,3,2.5,1300,5150,1.5,0,0,4,1,1300,0,95,95
10-2014,250800.0,3,1.75,1290,4000,1.0,0,0,3,1,1170,120,72,72
06-2014,941000.0,4,1.75,2320,3825,1.5,0,0,5,1,1820,500,89,89
04-2015,305000.0,4,2.75,2030,8600,1.0,0,0,4,1,1230,800,38,38
07-2014,815000.0,4,1.5,2060,16110,1.0,0,0,4,1,2060,0,66,66
12-2014,535000.0,3,2.5,2110,8164,2.0,0,0,3,1,2110,0,25,25
07-2014,775000.0,3,1.0,1175,10454,1.0,0,0,4,1,1175,0,66,66
07-2014,255000.0,3,2.0,1590,8670,1.0,0,0,3,1,1590,0,21,21
08-2014,327000.0,2,1.0,1070,9750,1.0,0,0,3,1,1070,0,68,68
12-2014,199500.0,3,1.75,1160,5200,1.0,0,0,4,1,1160,0,38,38
09-2014,527000.0,4,2.25,2380,5250,1.0,0,0,4,1,1410,970,54,54
07-2014,199950.0,3,2.75,2270,13590,1.5,0,0,4,1,1300,970,67,67
02-2015,254000.0,3,2.25,1660,8188,2.0,0,0,4,1,1660,0,27,27
03-2015,393000.0,2,1.0,830,5000,1.0,0,0,4,1,830,0,94,94
11-2014,585000.0,5,2.25,2480,12614,1.0,0,0,4,1,1860,620,36,36
07-2014,450000.0,2,2.0,1900,7740,1.0,0,0,4,1,1150,750,92,92
06-2014,565000.0,2,1.75,1670,4008,1.0,0,0,3,1,1670,0,10,10
05-2014,330000.0,5,2.25,2000,7900,1.0,0,0,4,1,1300,700,29,29
07-2014,585000.0,4,2.5,1860,8117,1.0,0,0,4,1,1460,400,49,49
05-2014,225000.0,3,2.0,1400,7384,1.0,0,0,3,1,1150,250,36,36
03-2015,295000.0,3,2.0,1400,7384,1.0,0,0,3,1,1150,250,36,36
06-2014,775000.0,3,2.75,2850,14800,1.0,0,0,4,1,1920,930,39,39
07-2014,280000.0,3,1.0,1370,11050,1.0,0,0,3,1,1370,0,34,34
09-2014,539000.0,3,2.5,2170,3200,1.5,0,0,5,1,1280,890,92,92
02-2015,442500.0,4,2.25,1970,7902,1.0,0,0,3,1,1310,660,55,55
10-2014,610000.0,4,2.5,2300,10843,2.0,0,0,5,1,2300,0,60,60
11-2014,544900.0,3,2.5,1990,4936,2.0,0,0,3,1,1990,0,11,11
04-2015,750000.0,3,2.0,1840,2825,1.0,0,0,3,1,1040,800,95,95
11-2014,530000.0,3,2.5,2030,10958,2.0,0,0,3,1,2030,0,32,32
07-2014,346100.0,3,2.5,1400,2036,2.0,0,0,3,1,1400,0,12,12
08-2014,260000.0,4,2.25,2320,16800,2.0,0,0,4,1,2320,0,38,38
08-2014,365000.0,3,1.75,1410,9150,1.0,0,0,5,1,1410,0,56,56
07-2014,318400.0,4,2.5,1820,6916,2.0,0,0,3,1,1820,0,21,21
03-2015,498500.0,4,2.5,1910,7172,2.0,0,0,3,1,1910,0,22,22
04-2015,450000.0,3,1.75,1540,7490,1.0,0,0,5,1,1540,0,44,44
03-2015,200000.0,3,2.0,1430,7905,1.0,0,0,4,1,1430,0,27,27
09-2014,234000.0,3,1.0,1010,8906,1.0,0,0,5,1,1010,0,47,47
08-2014,121800.0,2,1.0,940,8384,1.0,0,0,3,1,940,0,68,68
07-2014,410000.0,4,2.25,2060,7283,1.0,0,0,3,1,1220,840,52,2
02-2015,475000.0,3,2.5,1920,4534,2.0,0,0,3,1,1920,0,29,29
07-2014,573000.0,4,2.25,2150,9520,2.0,0,0,4,1,2150,0,36,36
03-2015,330000.0,3,2.5,1660,2890,2.0,0,0,3,1,1660,0,14,14
06-2014,252750.0,4,1.0,1230,7410,1.5,0,0,3,1,1230,0,71,71
04-2015,745000.0,2,2.5,2170,7546,1.0,0,0,3,1,2170,0,8,8
03-2015,280000.0,3,2.0,1280,7633,1.0,0,0,3,1,1280,0,24,24
04-2015,535000.0,4,2.5,2240,6920,1.0,0,0,5,1,1380,860,41,41
03-2015,580000.0,4,1.5,1780,5100,1.0,0,0,3,1,1320,460,62,62
12-2014,301000.0,3,1.75,1840,7200,1.0,0,0,4,1,1220,620,47,47
06-2014,600000.0,4,1.75,1740,7700,1.0,0,0,5,1,1740,0,47,47
08-2014,538900.0,5,3.0,3040,6604,2.0,0,0,3,1,3040,0,10,10
02-2015,366000.0,3,2.5,2370,4375,2.0,0,0,3,1,2370,0,9,9
08-2014,303000.0,4,2.5,2100,6783,2.0,0,0,3,1,2100,0,12,12
05-2014,432000.0,3,2.25,1470,1578,2.0,0,0,3,1,1090,380,8,8
04-2015,300000.0,2,1.5,1300,6120,1.0,0,0,3,1,820,480,70,70
10-2014,908800.0,3,3.0,3420,7826,2.0,0,0,4,1,2430,990,76,76
06-2014,500000.0,3,1.5,1190,4750,1.0,0,0,3,1,970,220,75,75
06-2014,254000.0,5,2.0,2080,16117,1.0,0,0,5,1,1740,340,56,56
09-2014,470000.0,5,1.5,2180,4268,1.5,0,0,4,1,1340,840,91,91
03-2015,480000.0,3,2.0,1460,7860,1.0,0,0,5,1,1460,0,48,48
01-2015,536000.0,3,1.75,1530,8503,1.0,0,0,4,1,1150,380,32,32
12-2014,260000.0,3,1.75,1710,6400,1.0,0,0,4,1,1240,470,39,39
04-2015,284900.0,2,1.5,1160,982,2.0,0,0,3,1,890,270,9,9
10-2014,740000.0,3,2.5,2200,3000,2.0,0,0,3,1,1530,670,13,13
10-2014,425000.0,2,1.0,1170,5000,1.0,0,0,4,1,1030,140,95,95
09-2014,230000.0,3,1.0,1120,7500,1.0,0,0,3,1,1120,0,50,50
04-2015,675000.0,3,1.5,1710,4000,2.0,0,0,3,1,1710,0,89,89
07-2014,267500.0,3,1.75,1650,7807,1.0,0,0,3,1,1650,0,29,29
09-2014,460000.0,3,2.0,1860,7232,1.0,0,0,3,1,1320,540,30,30
01-2015,445000.0,3,2.5,2250,9608,2.0,0,0,3,1,2250,0,21,21
09-2014,715000.0,3,2.5,2890,7027,2.0,0,0,3,1,2890,0,11,11
02-2015,425000.0,3,1.75,2120,5992,1.0,0,0,3,1,1060,1060,68,68
07-2014,370000.0,4,2.5,2130,4750,2.0,0,0,3,1,2130,0,6,6
04-2015,302000.0,2,1.75,1170,8200,1.0,0,0,4,1,780,390,78,78
06-2014,453000.0,4,1.75,2120,7420,1.0,0,0,4,1,1060,1060,59,59
05-2014,290000.0,3,1.75,1280,10716,1.0,0,0,4,1,1280,0,46,46
06-2014,204950.0,4,1.75,1740,9344,1.0,0,0,3,1,1180,560,37,37
04-2015,675000.0,4,2.5,2990,5400,2.0,0,0,3,1,2990,0,10,10
09-2014,472500.0,3,2.5,1650,3711,2.0,0,0,3,1,1650,0,19,19
12-2014,549950.0,4,2.5,2720,13500,1.0,0,0,3,1,1510,1210,46,46
10-2014,575575.0,3,1.75,1516,2897,1.0,0,0,3,1,998,518,90,90
11-2014,340000.0,3,2.25,2580,7434,1.0,0,0,3,1,1630,950,52,52
03-2015,225000.0,3,1.0,960,5512,1.0,0,0,4,1,960,0,52,52
10-2014,299950.0,2,1.75,1460,10506,1.0,0,0,3,1,1460,0,32,32
02-2015,829900.0,4,3.5,3840,4000,2.0,0,0,3,1,2640,1200,14,14
03-2015,340000.0,4,2.5,2090,4200,2.0,0,0,3,1,2090,0,8,8
10-2014,515000.0,4,2.25,2470,7800,1.0,0,0,3,1,1470,1000,40,40
07-2014,601000.0,4,2.5,2090,6906,2.0,0,0,4,1,2090,0,23,23
05-2015,470000.0,3,2.5,2070,8581,2.0,0,0,3,1,2070,0,21,21
07-2014,371500.0,3,1.0,1650,6400,1.0,0,0,4,1,980,670,61,61
12-2014,242550.0,4,2.5,2060,7720,2.0,0,0,3,1,2060,0,20,20
05-2014,367500.0,3,1.5,1410,9647,1.0,0,0,3,1,1410,0,54,54
09-2014,359000.0,4,3.5,2770,8763,2.0,0,0,3,1,2100,670,19,19
03-2015,204900.0,3,2.0,1390,8245,1.0,0,0,2,1,1390,0,31,31
10-2014,187000.0,3,1.5,1280,4452,2.0,0,0,3,1,1280,0,30,30
01-2015,782000.0,4,3.5,3780,7769,2.0,0,0,3,1,3110,670,14,14
11-2014,612000.0,4,2.5,2670,5974,2.0,0,0,3,1,2670,0,16,16
10-2014,400000.0,3,2.0,1350,7216,1.0,0,0,3,1,1350,0,51,51
01-2015,313000.0,2,1.5,870,747,2.0,0,0,3,1,800,70,11,11
04-2015,735000.0,4,2.25,2410,4250,1.5,0,0,5,1,1460,950,86,86
03-2015,471000.0,3,1.75,1640,10123,1.0,0,0,3,1,1340,300,38,38
02-2015,350000.0,3,1.0,1540,9800,1.0,0,0,4,1,1540,0,65,65
07-2014,530000.0,4,2.5,2370,9601,1.0,0,0,3,1,1570,800,39,39
05-2014,415000.0,4,3.0,1830,9548,2.0,0,0,3,1,1830,0,24,24
06-2014,639500.0,4,2.25,2330,8994,2.0,0,0,3,1,2330,0,29,29
11-2014,378000.0,2,2.5,1700,2513,2.0,0,0,3,1,1700,0,6,6
01-2015,265000.0,3,2.25,1750,9298,1.0,0,0,4,1,1410,340,46,46
09-2014,212000.0,3,1.75,1100,9750,1.0,0,0,4,1,1100,0,48,48
02-2015,750000.0,4,2.5,2540,6491,2.0,0,0,3,1,2540,0,18,18
08-2014,176000.0,2,1.0,770,5200,1.0,0,0,5,1,770,0,46,46
09-2014,350000.0,3,2.75,2370,4632,2.0,0,0,3,1,2370,0,13,13
07-2014,168000.0,3,1.0,1200,7210,1.0,0,0,4,1,1200,0,38,38
11-2014,358000.0,4,2.0,2200,3060,1.0,0,0,3,1,1100,1100,107,15
06-2014,442500.0,3,1.75,1600,10280,1.0,0,0,3,1,1050,550,38,38
03-2015,515000.0,2,2.5,1330,1249,3.0,0,0,3,1,1330,0,11,11
06-2014,659000.0,3,2.5,2510,6320,2.0,0,0,3,1,2510,0,19,19
03-2015,414999.0,4,2.5,2150,10098,1.0,0,0,3,1,1090,1060,52,52
05-2014,275000.0,3,1.5,1180,10277,1.0,0,0,3,1,1180,0,32,32
11-2014,193000.0,2,1.0,680,8640,1.0,0,0,4,1,680,0,64,64
08-2014,525000.0,4,2.5,2840,4750,2.0,0,0,3,1,2840,0,13,13
10-2014,424000.0,3,2.5,1820,7500,2.0,0,0,3,1,1820,0,30,30
01-2015,455000.0,2,1.0,1070,5150,1.0,0,0,4,1,870,200,107,107
12-2014,523000.0,3,1.75,3000,5413,2.0,0,0,4,1,1900,1100,52,52
08-2014,615000.0,4,1.75,2270,9830,1.0,0,0,4,1,2270,0,56,56
07-2014,215000.0,3,1.0,960,9563,1.0,0,0,5,1,960,0,48,48
09-2014,590000.0,2,1.0,1530,6450,1.0,0,0,4,1,1530,0,95,95
08-2014,323000.0,5,2.5,2500,13034,1.0,0,0,3,1,1300,1200,53,53
07-2014,279000.0,4,2.0,1560,7569,1.5,0,0,4,1,1560,0,49,49
09-2014,535100.0,3,2.25,2070,7207,1.0,0,0,3,1,1720,350,42,42
07-2014,815000.0,4,2.5,3150,4203,2.0,0,0,3,1,3150,0,13,13
03-2015,535900.0,3,2.25,1880,10880,1.0,0,0,3,1,1480,400,40,40
03-2015,230000.0,3,1.0,1250,8800,1.0,0,0,3,1,1250,0,60,60
02-2015,325500.0,4,1.75,2290,8142,1.0,0,0,4,1,1490,800,46,46
01-2015,359000.0,3,2.25,1990,4331,2.0,0,0,3,1,1990,0,18,18
09-2014,253905.0,3,1.0,940,8400,1.0,0,0,5,1,940,0,57,57
07-2014,369950.0,3,1.75,1640,4860,1.0,0,0,3,1,1200,440,50,50
01-2015,350000.0,3,2.25,1860,8378,2.0,0,0,3,1,1860,0,20,20
08-2014,650000.0,4,2.25,2100,2500,3.0,0,0,3,1,2100,0,14,14
08-2014,295000.0,3,1.75,1500,15246,1.0,0,0,3,1,1500,0,90,17
05-2014,246000.0,3,1.0,1400,7410,1.0,0,0,3,1,1400,0,71,71
09-2014,430000.0,3,2.75,2600,12860,1.0,0,0,3,1,1350,1250,50,50
01-2015,509990.0,3,2.0,1440,4859,2.0,0,0,2,1,1440,0,94,94
12-2014,490000.0,4,1.75,1870,9500,1.0,0,0,4,1,1090,780,53,53
04-2015,769000.0,4,2.5,2440,6733,2.0,0,0,3,1,2440,0,16,16
02-2015,185000.0,2,1.0,1122,9100,1.0,0,0,4,1,1122,0,55,55
05-2014,303500.0,3,1.5,1060,10464,1.0,0,0,4,1,1060,0,42,42
02-2015,468000.0,4,2.5,2150,8165,1.0,0,0,3,1,1430,720,58,58
07-2014,449950.0,4,2.5,3100,10000,2.0,0,0,3,1,3100,0,37,37
06-2014,235000.0,2,1.5,880,1805,2.0,0,0,3,1,880,0,16,16
11-2014,203000.0,2,1.0,1080,9067,1.0,0,0,3,1,1080,0,64,64
08-2014,657000.0,5,2.5,2530,10190,1.0,0,0,4,1,1290,1240,55,55
07-2014,275000.0,3,1.0,1200,7800,1.0,0,0,4,1,1200,0,61,61
10-2014,540000.0,4,2.25,2850,7453,2.0,0,0,3,1,2850,0,24,24
06-2014,455000.0,4,2.5,2950,4502,2.0,0,0,3,1,2950,0,10,10
10-2014,458500.0,2,1.75,1160,6828,1.0,0,0,3,1,860,300,74,74
05-2014,750000.0,3,1.75,2240,10578,2.0,0,0,5,1,1550,690,92,92
06-2014,235000.0,4,1.75,1450,8891,1.5,0,0,3,1,1180,270,53,53
09-2014,286000.0,4,2.5,1820,7930,2.0,0,0,5,1,1820,0,26,26
02-2015,602000.0,4,1.75,2430,14000,1.0,0,0,4,1,1580,850,52,52
08-2014,640000.0,3,1.5,1960,4080,1.5,0,0,3,1,1960,0,100,100
10-2014,267000.0,3,1.75,1440,10920,1.0,0,0,4,1,1440,0,38,38
